sensor;counts
Town Hall (West);145343894
Flinders Street Station Underpass;123510491
Melbourne Central;119060069
Princes Bridge;111720674
Bourke Street Mall (South);109587566
Bourke Street Mall (North);107694001
Spencer St-Collins St (North);75085810
Southbank;66130372
The Arts Centre;63232431
Southern Cross Station;52293637
Collins Place (South);44548729
Flinders La-Swanston St (West);44398698
Bourke St-Russell St (West);39476245
Chinatown-Swanston St (North);36915320
QV Market-Elizabeth St (West);36591510
Collins Place (North);34679974
Collins Street (North);32874290
Lonsdale St (South);31382723
Melbourne Central-Elizabeth St (East);30745843
Birrarung Marr;30506093
St Kilda Rd-Alexandra Gardens;26641727
Chinatown-Lt Bourke St (South);24096749
Little Collins St-Swanston St (East);23881427
New Quay;21802222
Spencer St-Collins St (South);21007081
Lygon St (West);18734239
Victoria Point;17599546
Webb Bridge;16690685
Lonsdale St-Spring St (West);15066950
Bourke St - Spencer St (North);15058304
Queen St (West);14777339
Bourke St Bridge;13959157
Elizabeth St-La Trobe St (East);12564276
Elizabeth St-Lonsdale St (South);12273412
Grattan St-Swanston St (West);12116009
Alfred Place;11334480
Waterfront City;10487238
Monash Rd-Swanston St (West);9771919
Faraday St-Lygon St (West);9188178
Lygon St (East);8929180
QV Market-Peel St;8824563
State Library - New;8512684
QVM-Queen St (East);7695689
Lonsdale St - Elizabeth St (North);7397411
Building 80 RMIT;6608682
RMIT Building 14;5983473
QVM-Therry St (South);5639618
Tin Alley-Swanston St (West);4864042
231 Bourke St;4684945
Swanston St - City Square;4575780
QVM-Franklin St (North);4073700
Flinders Ln -Degraves St (South);3457177
Lincoln-Swanston (West);3347134
Elizabeth St - Flinders St (East) - New footpath;2955813
Pelham St (South);2924262
Flinders St- ACMI;2594714
Flinders St (South);2282873
La Trobe St (North);2220722
Errol Street (East);1811261
Flinders Ln -Degraves St (North);1738786
Harbour Esplanade (West) - Pedestrian path;1454227
Royal Pde - Grattan St;1425640
Flinders Ln -Degraves St (Crossing);1331704
Macaulay Rd- Bellair St;634705
Spring St- Flinders st (West);446597
Westwood Place;416726
Harbour Esplanade (West) - Bike Path;413398
Bourke St - Spencer St (South);315015
Macaulay Rd (North);285170
Queensberry St - Errol St (South);179945
Boyd Commuinty - Front door;0
Boyd Commuinty - Rear door;0
Pop-up Lib Elizabeth St Left entry;0
Pop-up Lib Elizabeth St Right entry;0
